DATE,DEXCAUS
2019-04-01,1.3378136363636364
2019-05-01,1.3459772727272727
2019-06-01,1.3288700000000000
2019-07-01,1.3105227272727273
2019-08-01,1.3273136363636364
2019-09-01,1.3240500000000000
2019-10-01,1.3189227272727273
2019-11-01,1.3236578947368421
2019-12-01,1.3168952380952381
2020-01-01,1.3089095238095238
2020-02-01,1.3286368421052632
2020-03-01,1.3960227272727273
2020-04-01,1.4047954545454545
2020-05-01,1.3972000000000000
2020-06-01,1.3551772727272727
2020-07-01,1.3496954545454545
2020-08-01,1.3228904761904762
2020-09-01,1.3229761904761905
2020-10-01,1.3217714285714286
2020-11-01,1.3072611111111111
2020-12-01,1.2809190476190476
2021-01-01,1.2724611111111111
2021-02-01,1.2696473684210526
2021-03-01,1.2568956521739130
2021-04-01,1.2494454545454545
